,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
164,İstanbul,9,35,350000,80,75,1,0,13
165,İstanbul,18,88,445000,65,55,1,0,19
166,İstanbul,11,87,22000000,450,400,14,8,20
167,İstanbul,9,35,650000,135,125,3,0,12
168,İstanbul,9,128,599000,110,95,3,0,19
169,İstanbul,27,57,1075000,245,230,5,5,20
170,İstanbul,24,65,650000,180,160,5,2,12
171,İstanbul,15,100,1490000,160,150,6,0,11
172,İstanbul,26,114,4200000,270,200,12,2,23
173,İstanbul,19,81,8250000,305,304,0,5,20
174,İstanbul,34,54,1450000,160,150,5,5,12
175,İstanbul,26,139,6500000,500,450,14,5,24
176,İstanbul,13,74,850000,95,85,3,0,12
177,İstanbul,6,130,685000,160,150,5,2,11
178,İstanbul,21,100,1800000,255,220,8,8,12
179,İstanbul,23,51,1200000,119,100,5,0,12
180,İstanbul,9,35,247000,125,115,3,0,11
181,İstanbul,0,91,3900000,500,300,8,8,24
182,İstanbul,6,113,1200000,200,190,10,4,11
183,İstanbul,18,96,2750000,160,140,5,8,0
184,İstanbul,15,59,4400000,178,105,5,0,13
185,İstanbul,14,94,250000,92,85,3,0,19
186,İstanbul,22,9,3400000,167,140,5,2,14
187,İstanbul,22,95,1200000,165,160,13,1,26
188,İstanbul,3,118,1650000,190,170,9,0,13
189,İstanbul,12,12,600000,100,90,3,0,11
190,İstanbul,0,8,720000,100,90,3,8,13
191,İstanbul,32,40,1360000,87,75,3,0,11
192,İstanbul,29,14,650000,90,75,3,0,7
193,İstanbul,9,89,4300000,270,250,18,7,20
194,İstanbul,23,5,2700000,109,80,3,6,12
195,İstanbul,26,16,850000,90,85,3,2,11
196,İstanbul,7,6,1100000,190,180,9,6,22
197,İstanbul,22,149,1175000,185,165,8,8,26
198,İstanbul,23,51,1250000,110,95,5,6,7
199,İstanbul,13,125,290000,55,50,1,6,19
200,İstanbul,13,125,740000,95,90,3,7,11
201,İstanbul,3,138,720000,90,80,3,0,25
202,İstanbul,12,68,1700000,120,100,1,2,20
203,İstanbul,11,86,15200000,189,133,5,7,15
204,İstanbul,3,78,750000,128,125,3,2,26
205,İstanbul,12,68,755000,85,80,3,2,20
206,İstanbul,9,20,1200000,115,100,3,2,7
207,İstanbul,9,27,330000,95,85,1,0,2
208,İstanbul,24,55,2900000,300,260,13,0,17
209,İstanbul,24,55,2300000,300,250,8,0,1
210,İstanbul,9,112,1900000,135,110,3,4,7
211,İstanbul,15,136,1500000,110,90,5,2,25
212,İstanbul,31,63,5000000,178,150,5,8,11
213,İstanbul,24,60,1000000,125,120,5,8,7
214,İstanbul,24,126,1500000,125,120,5,6,0
215,İstanbul,8,1,2750000,145,105,3,4,13
216,İstanbul,8,53,3700000,150,135,5,5,12
217,İstanbul,25,111,775000,125,100,5,2,15
218,İstanbul,9,35,689999,150,140,5,0,7
219,İstanbul,14,110,670000,130,120,3,7,7
220,İstanbul,28,66,1050000,80,70,3,8,19
221,İstanbul,14,110,690000,90,80,3,0,7
222,İstanbul,7,18,2250000,100,90,3,2,13
223,İstanbul,7,18,1800000,220,200,9,3,13
224,İstanbul,9,2,1750000,220,160,8,1,11
225,İstanbul,9,2,5250000,450,325,14,0,20
226,İstanbul,9,2,1475000,125,105,3,0,7
227,İstanbul,17,153,1185000,110,100,3,0,11
228,İstanbul,5,70,1350000,165,150,6,0,26
229,İstanbul,9,128,1000000,110,100,5,7,0
230,İstanbul,2,37,1300000,110,100,5,0,11
231,İstanbul,2,34,980000,130,120,5,8,13
232,İstanbul,2,56,1500000,160,150,6,8,11
233,İstanbul,9,2,3100000,185,170,5,8,11
234,İstanbul,2,100,1500000,150,140,6,0,26
235,İstanbul,14,108,849000,140,130,5,8,2
236,İstanbul,22,62,3250000,152,110,5,0,7
237,İstanbul,3,143,785000,120,100,3,5,0
238,İstanbul,19,28,3950000,120,90,5,7,7
239,İstanbul,21,100,975000,200,180,10,8,20
240,İstanbul,20,35,1295000,125,110,5,7,7
241,İstanbul,24,132,875000,78,70,3,0,25
242,İstanbul,24,134,675000,85,75,3,3,12
243,İstanbul,32,129,2800000,74,50,1,0,9
244,İstanbul,32,129,2600000,74,50,1,0,8
245,İstanbul,2,34,400000,130,125,5,5,0
246,İstanbul,28,66,1050000,80,70,3,8,19
247,İstanbul,14,101,1350000,140,125,5,5,3
248,İstanbul,22,149,680000,85,75,3,0,25
249,İstanbul,22,149,680000,80,75,3,0,25
250,İstanbul,3,117,615000,165,140,5,3,13
251,İstanbul,23,140,1420000,92,75,3,8,4
252,İstanbul,15,106,890000,230,200,11,5,23
253,İstanbul,28,3,598000,120,99,3,0,21
254,İstanbul,2,103,293000,83,73,1,0,0
255,İstanbul,19,45,12000000,200,147,8,0,6
256,İstanbul,14,97,285000,80,70,1,0,7
257,İstanbul,31,100,699000,85,70,3,0,21
258,İstanbul,31,100,819000,90,80,3,0,0
259,İstanbul,3,17,1435000,120,100,5,5,0
260,İstanbul,14,35,329000,110,100,3,0,11
261,İstanbul,9,27,505000,117,107,3,0,14
262,İstanbul,32,43,2950000,130,100,3,8,14
263,İstanbul,23,51,1525000,100,78,3,8,7
264,İstanbul,14,94,326000,112,102,3,0,11
265,İstanbul,7,25,4990000,177,140,8,8,11
266,İstanbul,9,128,388000,110,100,3,0,12
267,İstanbul,30,115,1100000,170,160,9,5,13
268,İstanbul,14,61,250000,75,65,1,0,12
269,İstanbul,14,148,355000,130,120,5,0,11
270,İstanbul,9,2,1699000,270,250,11,0,12
271,İstanbul,9,35,749900,150,140,5,0,7
272,İstanbul,9,35,529900,120,105,3,0,0
273,İstanbul,9,2,1434900,160,150,5,0,25
274,İstanbul,9,2,800000,105,90,1,6,11
275,İstanbul,9,35,659000,140,120,5,0,0
276,İstanbul,9,35,439000,110,100,3,7,7
277,İstanbul,16,124,870000,120,115,3,5,12
278,İstanbul,9,35,1950000,165,136,5,5,5
279,İstanbul,9,35,2750000,165,146,5,3,16
280,İstanbul,31,58,1250000,127,105,5,2,0
281,İstanbul,9,35,739000,115,102,3,0,7
282,İstanbul,9,35,699000,146,120,5,0,0
283,İstanbul,9,35,340000,110,100,3,7,7
