,Fiyat,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Toplam Tramer Tutarı
108,211750,6,50,210,2009,2,1,1596,100,145,0.0
109,555000,25,53,98,2018,0,2,1395,150,66,0.0
110,128750,25,25,183,2004,2,1,1595,102,304,0.0
111,180000,24,40,166,1995,0,1,1587,114,76,0.0
112,255000,24,40,55,2014,2,0,1329,99,46,0.0
113,350000,24,40,212,2019,0,1,1598,132,18,0.0
114,141500,25,72,223,1999,2,1,1781,150,263,0.0
115,188500,25,72,224,2003,1,2,1801,150,269,0.0
116,49750,23,104,136,1994,2,0,1581,100,100,0.0
117,615000,25,72,243,2017,1,2,1968,150,241,800000.0
118,650000,15,44,250,2012,1,1,2143,204,311,0.0
119,600000,15,33,229,2016,1,1,1461,109,170,0.0
120,217500,5,62,181,2014,1,0,1401,125,128,0.0
121,85000,5,91,137,2003,2,0,1596,103,310,0.0
122,65000,5,70,44,2007,1,0,1248,70,310,0.0
123,1924000,15,44,230,2018,0,1,1595,156,100,0.0
124,589000,13,39,114,2018,1,1,1496,116,46,0.0
125,359000,7,37,219,2017,2,2,1401,125,86,0.0
126,132500,20,65,123,2006,1,0,1461,85,252,0.0
127,227750,5,45,73,2021,2,0,1368,95,34,0.0
128,580000,15,33,229,2016,1,1,1461,109,149,0.0
129,262500,5,45,52,2019,1,0,1248,95,100,0.0
130,279000,24,40,65,2014,1,2,1364,90,87,0.0
131,205000,18,3,173,2011,1,0,1560,91,120,0.0
132,61900,6,67,238,1999,2,1,1988,130,290,0.0
133,269900,6,50,194,2016,1,0,1560,95,120,0.0
134,346000,20,65,54,2020,0,2,1332,140,49,0.0
135,157999,8,16,66,2016,2,0,1368,100,400,0.0
136,317000,8,102,78,2021,0,1,1368,100,12,0.0
137,186500,8,17,79,2012,0,1,1399,97,127,0.0
138,179000,20,93,16,2016,0,0,1149,75,90,0.0
139,197000,20,93,16,2016,0,0,1149,75,68,0.0
140,231750,3,30,103,2012,0,2,1397,96,80,0.0
141,590000,15,44,251,2012,2,1,1796,204,247,50000.0
142,26500,20,78,299,1974,0,0,1300,54,125,0.0
143,65000,6,48,35,1998,2,0,1242,75,148,0.0
144,92500,16,75,150,2000,2,0,1401,100,284,0.0
145,142000,20,93,125,2010,1,0,1461,85,211,0.0
146,137000,24,101,11,2005,0,2,1200,75,178,0.0
147,1850000,1,64,294,2007,0,0,4501,525,60,0.0
148,365000,25,72,94,2014,0,2,1390,122,56,0.0
149,314900,22,81,197,2013,1,2,1598,90,90,0.0
150,349900,24,40,64,2016,1,2,1401,100,120,0.0
151,389900,18,8,141,2017,1,1,1401,125,111,0.0
152,379900,8,46,149,2018,1,2,1582,136,75,0.0
153,339900,20,65,132,2017,1,2,1461,110,115,0.0
154,359900,20,65,132,2017,1,2,1461,110,113,0.0
155,579900,25,72,202,2016,1,2,1598,120,163,0.0
156,289000,24,40,176,2018,2,0,1598,132,132,0.0
157,185000,6,50,192,2009,1,0,1560,110,251,0.0
158,139750,20,65,156,2004,2,1,1598,115,246,0.0
159,169950,2,23,40,2013,1,0,1201,75,143,0.0
160,359000,17,21,83,2020,2,1,1364,140,23,0.0
161,230000,8,102,18,2014,0,0,1248,84,132,0.0
162,122000,5,19,298,2011,2,0,1368,77,172,0.0
163,1545000,19,71,261,2011,0,1,3605,300,102,0.0
164,232000,6,48,118,2013,1,0,1498,75,140,0.0
165,205000,25,56,96,2008,0,2,1390,140,255,0.0
166,165000,25,74,100,2006,0,1,1390,75,227,0.0
167,142000,25,53,162,2005,0,1,1598,115,295,0.0
168,86500,20,65,240,1999,2,1,1598,107,212,0.0
169,180000,6,50,192,2009,1,0,1560,110,269,0.0
170,114000,8,51,113,2007,1,0,1493,88,220,0.0
171,92000,8,15,36,2006,2,0,1341,86,257,0.0
172,585000,25,72,202,2017,1,2,1598,120,131,0.0
173,98000,20,65,130,2006,1,0,1461,86,306,1800.0
174,120000,2,23,17,2010,2,0,1201,100,186,0.0
175,54900,5,97,106,1997,2,0,1372,71,210,0.0
176,129900,18,2,104,2004,2,1,1360,76,178,0.0
177,150000,6,50,193,2009,1,0,1560,110,292,0.0
178,229000,20,60,247,2011,1,1,1995,175,222,0.0
179,197000,13,39,154,2004,0,1,1401,125,146,0.0
180,192000,6,48,86,2012,1,0,1398,70,183,0.0
181,217500,20,38,127,2017,1,0,1461,75,151,0.0
182,222500,8,102,60,2014,1,0,1201,100,116,0.0
183,415000,20,65,126,2016,1,2,1461,110,122,0.0
184,285000,8,16,144,2017,1,2,1582,136,110,0.0
185,179900,20,49,127,2013,1,0,1401,100,245,0.0
186,93000,15,27,287,1995,1,0,1997,75,343,0.0
187,318000,7,37,221,2013,2,2,1401,125,111,0.0
188,123900,17,41,14,2004,2,2,1200,75,193,0.0
189,184900,20,65,160,2012,2,0,1598,110,95,0.0
190,126900,8,46,165,2005,2,1,1599,107,330,0.0
191,390000,0,12,274,2015,1,2,1598,110,143,0.0
192,165000,5,76,80,2012,0,2,1368,77,125,0.0
193,177000,1,0,227,2005,2,0,1596,115,290,0.0
194,149000,20,93,127,2016,1,0,1461,90,200,0.0
195,265750,1,5,257,2006,1,1,1995,163,285,0.0
196,272500,20,38,31,2017,0,2,1197,120,115,0.0
197,329000,22,81,87,2018,1,1,1401,100,164,0.0
198,176500,17,41,14,2010,0,0,1229,80,74,0.0
199,227000,6,50,194,2014,1,0,1560,95,200,0.0
200,188500,5,62,45,2013,1,0,1248,95,68,0.0
201,265000,22,69,198,2014,1,2,1598,105,138,55000.0
202,115000,25,53,183,2003,2,0,1595,105,195,0.0
203,88500,2,59,81,2011,2,0,1399,95,92,0.0
204,615000,1,5,258,2015,0,2,1401,175,153,0.0
205,169000,6,50,194,2010,1,0,1560,90,254,0.0
206,308000,15,44,252,2002,1,1,2685,170,200,0.0
207,195000,20,49,127,2013,1,2,1461,110,300,0.0
208,319750,20,38,132,2019,1,2,1461,90,52,0.0
209,240000,20,49,132,2015,1,2,1461,110,186,0.0
210,42500,23,104,295,1997,2,0,1581,80,271,0.0
211,110000,21,96,186,2003,2,0,1598,105,310,0.0
212,229750,6,48,117,2013,1,0,1498,75,74,0.0
213,157000,5,62,45,2015,1,0,1201,100,197,0.0
214,77000,25,74,153,2000,2,0,1595,100,318,0.0
215,122000,20,93,56,2009,0,0,1390,75,180,0.0
216,160000,3,28,172,2014,1,0,1560,93,280,0.0
217,155000,18,7,168,2013,1,0,1560,93,279,0.0
218,165000,18,7,168,2015,1,0,1560,93,240,0.0
219,209000,8,102,60,2016,1,0,1396,90,95,0.0
220,153800,17,21,37,2008,1,0,1248,90,248,0.0
221,187500,20,49,127,2013,1,2,1461,110,213,0.0
222,700000,15,27,288,2016,1,1,1598,136,130,0.0
223,252950,1,5,254,2011,0,1,1596,116,224,0.0
224,99950,2,57,25,2005,2,0,1150,72,104,0.0
225,199950,1,0,228,2007,2,1,1995,143,216,0.0
226,610000,15,11,273,2016,1,2,1401,125,97,0.0
227,365000,25,72,95,2013,0,2,1390,122,115,0.0
228,282500,17,21,84,2014,0,1,1364,140,99,0.0
229,369000,24,40,212,2020,2,2,1401,150,29,0.0
230,181950,3,28,172,2016,1,0,1560,93,133,0.0
231,295000,21,61,196,2012,1,2,1598,105,111,0.0
232,335000,0,12,276,2012,0,2,1390,125,132,0.0
233,182000,3,28,170,2016,1,0,1560,93,50,0.0
234,126500,20,65,125,2008,1,0,1461,86,197,6500.0
235,110000,15,1,289,1987,1,0,1997,75,330,0.0
236,715000,1,9,267,2013,1,1,1801,225,210,0.0
237,87500,5,19,47,2004,1,0,1248,70,292,0.0
238,425000,22,88,10,2021,0,1,1200,125,12,0.0
239,325000,20,38,53,2020,0,1,1201,150,8,0.0
240,368000,11,34,147,2016,1,2,1582,136,91,0.0
241,243750,8,102,60,2018,1,0,1396,90,112,0.0
242,370500,25,53,202,2016,1,2,1598,110,144,0.0
243,166950,21,61,92,2010,0,0,1201,125,247,0.0
244,246000,17,41,34,2014,0,2,1229,85,85,416000.0
245,232500,8,102,60,2016,1,0,1396,90,134,0.0
246,506750,6,50,117,2020,1,1,1500,120,19,0.0
247,790000,1,9,266,2013,0,2,1401,175,86,0.0
248,236000,4,87,131,2015,1,0,1461,90,125,0.0
249,340000,6,50,119,2017,1,2,1499,120,125,0.0
250,219000,24,40,63,2011,1,0,1364,90,182,0.0
251,201500,18,7,168,2017,1,0,1401,100,110,0.0
252,315000,22,69,200,2016,1,2,1598,110,220,0.0
253,325000,24,40,65,2016,1,2,1201,100,149,0.0
254,70000,20,89,184,1999,2,0,1598,90,257,0.0
255,353750,25,53,206,2011,1,2,1598,105,142,0.0
256,79900,8,15,110,2006,1,0,1493,82,225,0.0
257,345000,20,38,6,2021,0,1,999,90,12,0.0
258,375000,20,65,54,2021,0,0,1332,140,22,0.0
259,210000,25,56,161,2006,0,0,1598,115,174,0.0
260,210000,25,56,161,2006,0,0,1598,115,174,0.0
261,185000,25,74,89,2015,1,0,1422,75,188,5700.0
